full_name,entity_name,rustmath_location,implementation_type,reasoning
sage.arith,arith,rustmath-integers,FULL,Module structure in rustmath-integers
sage.arith.functions,functions,rustmath-integers,FULL,Module structure in rustmath-integers
sage.arith.functions.LCM_list,LCM_list,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.functions.lcm,lcm,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc,misc,rustmath-integers,FULL,Module structure in rustmath-integers
sage.arith.misc.CRT,CRT,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.CRT_basis,CRT_basis,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.CRT_list,CRT_list,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.CRT_vectors,CRT_vectors,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.Euler_Phi,Euler_Phi,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.GCD,GCD,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.Moebius,Moebius,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.Sigma,Sigma,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.XGCD,XGCD,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.algdep,algdep,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.algebraic_dependency,algebraic_dependency,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.bernoulli,bernoulli,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.binomial,binomial,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.binomial_coefficients,binomial_coefficients,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.carmichael_lambda,carmichael_lambda,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.continuant,continuant,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.coprime_part,coprime_part,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.crt,crt,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.dedekind_psi,dedekind_psi,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.dedekind_sum,dedekind_sum,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.differences,differences,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.divisors,divisors,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.eratosthenes,eratosthenes,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.factor,factor,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.factorial,factorial,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.falling_factorial,falling_factorial,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.four_squares,four_squares,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.fundamental_discriminant,fundamental_discriminant,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.gauss_sum,gauss_sum,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.gcd,gcd,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.get_gcd,get_gcd,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.get_inverse_mod,get_inverse_mod,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.hilbert_conductor,hilbert_conductor,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.hilbert_conductor_inverse,hilbert_conductor_inverse,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.hilbert_symbol,hilbert_symbol,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.integer_ceil,integer_ceil,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.integer_floor,integer_floor,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.integer_trunc,integer_trunc,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.inverse_mod,inverse_mod,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.is_power_of_two,is_power_of_two,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.is_prime,is_prime,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.is_prime_power,is_prime_power,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.is_pseudoprime,is_pseudoprime,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.is_pseudoprime_power,is_pseudoprime_power,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.is_square,is_square,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.is_squarefree,is_squarefree,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.jacobi_symbol,jacobi_symbol,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.kronecker,kronecker,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.kronecker_symbol,kronecker_symbol,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.legendre_symbol,legendre_symbol,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.mqrr_rational_reconstruction,mqrr_rational_reconstruction,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.multinomial,multinomial,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.multinomial_coefficients,multinomial_coefficients,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.next_prime,next_prime,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.next_prime_power,next_prime_power,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.next_probable_prime,next_probable_prime,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.nth_prime,nth_prime,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.number_of_divisors,number_of_divisors,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.odd_part,odd_part,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.power_mod,power_mod,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.previous_prime,previous_prime,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.previous_prime_power,previous_prime_power,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.prime_divisors,prime_divisors,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.prime_factors,prime_factors,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.prime_powers,prime_powers,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.prime_to_m_part,prime_to_m_part,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.primes,primes,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.primes_first_n,primes_first_n,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.primitive_root,primitive_root,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.quadratic_residues,quadratic_residues,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.radical,radical,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.random_prime,random_prime,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.rational_reconstruction,rational_reconstruction,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.rising_factorial,rising_factorial,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.smooth_part,smooth_part,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.sort_complex_numbers_for_display,sort_complex_numbers_for_display,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.squarefree_divisors,squarefree_divisors,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.subfactorial,subfactorial,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.sum_of_k_squares,sum_of_k_squares,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.three_squares,three_squares,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.trial_division,trial_division,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.two_squares,two_squares,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.valuation,valuation,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.xgcd,xgcd,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.xkcd,xkcd,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.misc.xlcm,xlcm,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.multi_modular,multi_modular,rustmath-integers,FULL,Module structure in rustmath-integers
sage.arith.multi_modular.MultiModularBasis,MultiModularBasis,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.multi_modular.MultiModularBasis_base,MultiModularBasis_base,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.multi_modular.MutableMultiModularBasis,MutableMultiModularBasis,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.power,power,rustmath-integers,FULL,Module structure in rustmath-integers
sage.arith.power.generic_power,generic_power,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.srange,srange,rustmath-integers,FULL,Module structure in rustmath-integers
sage.arith.srange.ellipsis_iter,ellipsis_iter,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.srange.ellipsis_range,ellipsis_range,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.srange.srange,srange,rustmath-integers,FULL,Implemented in rustmath-integers
sage.arith.srange.xsrange,xsrange,rustmath-integers,FULL,Implemented in rustmath-integers
sage.calculus,calculus,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus,calculus,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.at,at,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.dummy_diff,dummy_diff,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.dummy_integrate,dummy_integrate,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.dummy_inverse_laplace,dummy_inverse_laplace,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.dummy_laplace,dummy_laplace,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.dummy_pochhammer,dummy_pochhammer,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.inverse_laplace,inverse_laplace,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.laplace,laplace,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.lim,lim,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.limit,limit,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.mapped_opts,mapped_opts,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.maxima_options,maxima_options,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.minpoly,minpoly,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.mma_free_limit,mma_free_limit,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.nintegral,nintegral,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.nintegrate,nintegrate,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.symbolic_expression_from_maxima_string,symbolic_expression_from_maxima_string,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.symbolic_expression_from_string,symbolic_expression_from_string,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.symbolic_product,symbolic_product,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.calculus.symbolic_sum,symbolic_sum,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers,desolvers,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve,desolve,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_laplace,desolve_laplace,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_mintides,desolve_mintides,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_odeint,desolve_odeint,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_rk4,desolve_rk4,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_rk4_determine_bounds,desolve_rk4_determine_bounds,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_system,desolve_system,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_system_rk4,desolve_system_rk4,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.desolve_tides_mpfr,desolve_tides_mpfr,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.eulers_method,eulers_method,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.eulers_method_2x2,eulers_method_2x2,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.eulers_method_2x2_plot,eulers_method_2x2_plot,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.fricas_desolve,fricas_desolve,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.desolvers.fricas_desolve_system,fricas_desolve_system,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional,functional,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.derivative,derivative,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.diff,diff,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.expand,expand,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.integral,integral,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.integrate,integrate,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.lim,lim,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.limit,limit,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.simplify,simplify,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.functional.taylor,taylor,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.integration,integration,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
sage.calculus.integration.PyFunctionWrapper,PyFunctionWrapper,rustmath-calculus,STUB,Minimal implementation in rustmath-calculus
