Priority,Done,Module,Entity,Type,Full_Name,Source
,,sage.arith,arith,module,sage.arith,
,,sage.arith.functions,LCM_list,function,sage.arith.functions.LCM_list,https://github.com/sagemath/sage/blob/develop/src/sage/arith/functions.pyx#L127
,,sage.arith.functions,functions,module,sage.arith.functions,https://github.com/sagemath/sage/blob/develop/src/sage/arith/functions.pyx#L127
,,sage.arith.functions,lcm,function,sage.arith.functions.lcm,https://github.com/sagemath/sage/blob/develop/src/sage/arith/functions.pyx#L22
,,sage.arith.misc,CRT,function,sage.arith.misc.CRT,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3354
,,sage.arith.misc,CRT_basis,function,sage.arith.misc.CRT_basis,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3641
,,sage.arith.misc,CRT_list,function,sage.arith.misc.CRT_list,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3500
,,sage.arith.misc,CRT_vectors,function,sage.arith.misc.CRT_vectors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3688
,,sage.arith.misc,Euler_Phi,class,sage.arith.misc.Euler_Phi,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3073
,,sage.arith.misc,GCD,function,sage.arith.misc.GCD,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1718
,,sage.arith.misc,Moebius,class,sage.arith.misc.Moebius,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4566
,,sage.arith.misc,Sigma,class,sage.arith.misc.Sigma,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1580
,,sage.arith.misc,XGCD,function,sage.arith.misc.XGCD,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1939
,,sage.arith.misc,algdep,function,sage.arith.misc.algdep,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L43
,,sage.arith.misc,algebraic_dependency,function,sage.arith.misc.algebraic_dependency,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L43
,,sage.arith.misc,bernoulli,function,sage.arith.misc.bernoulli,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L280
,,sage.arith.misc,binomial,function,sage.arith.misc.binomial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3724
,,sage.arith.misc,binomial_coefficients,function,sage.arith.misc.binomial_coefficients,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4063
,,sage.arith.misc,carmichael_lambda,function,sage.arith.misc.carmichael_lambda,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3206
,,sage.arith.misc,continuant,function,sage.arith.misc.continuant,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4749
,,sage.arith.misc,coprime_part,function,sage.arith.misc.coprime_part,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6470
,,sage.arith.misc,crt,function,sage.arith.misc.crt,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3354
,,sage.arith.misc,dedekind_psi,function,sage.arith.misc.dedekind_psi,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6393
,,sage.arith.misc,dedekind_sum,function,sage.arith.misc.dedekind_sum,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6167
,,sage.arith.misc,differences,function,sage.arith.misc.differences,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5933
,,sage.arith.misc,divisors,function,sage.arith.misc.divisors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1489
,,sage.arith.misc,eratosthenes,function,sage.arith.misc.eratosthenes,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L963
,,sage.arith.misc,factor,function,sage.arith.misc.factor,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2563
,,sage.arith.misc,factorial,function,sage.arith.misc.factorial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L399
,,sage.arith.misc,falling_factorial,function,sage.arith.misc.falling_factorial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5123
,,sage.arith.misc,four_squares,function,sage.arith.misc.four_squares,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5677
,,sage.arith.misc,fundamental_discriminant,function,sage.arith.misc.fundamental_discriminant,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6072
,,sage.arith.misc,gauss_sum,function,sage.arith.misc.gauss_sum,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6279
,,sage.arith.misc,gcd,function,sage.arith.misc.gcd,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1718
,,sage.arith.misc,get_gcd,function,sage.arith.misc.get_gcd,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2231
,,sage.arith.misc,get_inverse_mod,function,sage.arith.misc.get_inverse_mod,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2253
,,sage.arith.misc,hilbert_conductor,function,sage.arith.misc.hilbert_conductor,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4981
,,sage.arith.misc,hilbert_conductor_inverse,function,sage.arith.misc.hilbert_conductor_inverse,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5025
,,sage.arith.misc,hilbert_symbol,function,sage.arith.misc.hilbert_symbol,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4866
,,sage.arith.misc,integer_ceil,function,sage.arith.misc.integer_ceil,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5316
,,sage.arith.misc,integer_floor,function,sage.arith.misc.integer_floor,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5348
,,sage.arith.misc,integer_trunc,function,sage.arith.misc.integer_trunc,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5394
,,sage.arith.misc,inverse_mod,function,sage.arith.misc.inverse_mod,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2195
,,sage.arith.misc,is_power_of_two,function,sage.arith.misc.is_power_of_two,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5894
,,sage.arith.misc,is_prime,function,sage.arith.misc.is_prime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L479
,,sage.arith.misc,is_prime_power,function,sage.arith.misc.is_prime_power,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L610
,,sage.arith.misc,is_pseudoprime,function,sage.arith.misc.is_pseudoprime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L575
,,sage.arith.misc,is_pseudoprime_power,function,sage.arith.misc.is_pseudoprime_power,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L680
,,sage.arith.misc,is_square,function,sage.arith.misc.is_square,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2928
,,sage.arith.misc,is_squarefree,function,sage.arith.misc.is_squarefree,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3007
,,sage.arith.misc,jacobi_symbol,function,sage.arith.misc.jacobi_symbol,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4318
,,sage.arith.misc,kronecker,function,sage.arith.misc.kronecker,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4218
,,sage.arith.misc,kronecker_symbol,function,sage.arith.misc.kronecker_symbol,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4218
,,sage.arith.misc,legendre_symbol,function,sage.arith.misc.legendre_symbol,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4266
,,sage.arith.misc,misc,module,sage.arith.misc,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3354
,,sage.arith.misc,mqrr_rational_reconstruction,function,sage.arith.misc.mqrr_rational_reconstruction,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2458
,,sage.arith.misc,multinomial,function,sage.arith.misc.multinomial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3995
,,sage.arith.misc,multinomial_coefficients,function,sage.arith.misc.multinomial_coefficients,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4108
,,sage.arith.misc,next_prime,function,sage.arith.misc.next_prime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1200
,,sage.arith.misc,next_prime_power,function,sage.arith.misc.next_prime_power,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1108
,,sage.arith.misc,next_probable_prime,function,sage.arith.misc.next_probable_prime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1168
,,sage.arith.misc,nth_prime,function,sage.arith.misc.nth_prime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4490
,,sage.arith.misc,number_of_divisors,function,sage.arith.misc.number_of_divisors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4833
,,sage.arith.misc,odd_part,function,sage.arith.misc.odd_part,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2858
,,sage.arith.misc,power_mod,function,sage.arith.misc.power_mod,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2285
,,sage.arith.misc,previous_prime,function,sage.arith.misc.previous_prime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1249
,,sage.arith.misc,previous_prime_power,function,sage.arith.misc.previous_prime_power,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1303
,,sage.arith.misc,prime_divisors,function,sage.arith.misc.prime_divisors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2802
,,sage.arith.misc,prime_factors,function,sage.arith.misc.prime_factors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2802
,,sage.arith.misc,prime_powers,function,sage.arith.misc.prime_powers,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L809
,,sage.arith.misc,prime_to_m_part,function,sage.arith.misc.prime_to_m_part,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2886
,,sage.arith.misc,primes,function,sage.arith.misc.primes,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1020
,,sage.arith.misc,primes_first_n,function,sage.arith.misc.primes_first_n,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L931
,,sage.arith.misc,primitive_root,function,sage.arith.misc.primitive_root,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4369
,,sage.arith.misc,quadratic_residues,function,sage.arith.misc.quadratic_residues,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4533
,,sage.arith.misc,radical,function,sage.arith.misc.radical,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2762
,,sage.arith.misc,random_prime,function,sage.arith.misc.random_prime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1376
,,sage.arith.misc,rational_reconstruction,function,sage.arith.misc.rational_reconstruction,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2360
,,sage.arith.misc,rising_factorial,function,sage.arith.misc.rising_factorial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5224
,,sage.arith.misc,smooth_part,function,sage.arith.misc.smooth_part,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6421
,,sage.arith.misc,sort_complex_numbers_for_display,function,sage.arith.misc.sort_complex_numbers_for_display,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6011
,,sage.arith.misc,squarefree_divisors,function,sage.arith.misc.squarefree_divisors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6110
,,sage.arith.misc,subfactorial,function,sage.arith.misc.subfactorial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5858
,,sage.arith.misc,sum_of_k_squares,function,sage.arith.misc.sum_of_k_squares,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5752
,,sage.arith.misc,three_squares,function,sage.arith.misc.three_squares,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5531
