Status,full_name,module,entity_name,type,bases,source
,sage.algebras,sage.algebras,algebras,module,,
,sage.algebras.affine_nil_temperley_lieb,sage.algebras.affine_nil_temperley_lieb,affine_nil_temperley_lieb,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/affine_nil_temperley_lieb.py#L20
,sage.algebras.affine_nil_temperley_lieb.AffineNilTemperleyLiebTypeA,sage.algebras.affine_nil_temperley_lieb,AffineNilTemperleyLiebTypeA,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/affine_nil_temperley_lieb.py#L20
,sage.algebras.askey_wilson,sage.algebras.askey_wilson,askey_wilson,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/askey_wilson.py#L788
,sage.algebras.askey_wilson.AlgebraMorphism,sage.algebras.askey_wilson,AlgebraMorphism,class,ModuleMorphismByLinearity,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/askey_wilson.py#L788
,sage.algebras.askey_wilson.AskeyWilsonAlgebra,sage.algebras.askey_wilson,AskeyWilsonAlgebra,class,"R, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/askey_wilson.py#L31
,sage.algebras.associated_graded,sage.algebras.associated_graded,associated_graded,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/associated_graded.py#L25
,sage.algebras.associated_graded.AssociatedGradedAlgebra,sage.algebras.associated_graded,AssociatedGradedAlgebra,class,"A, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/associated_graded.py#L25
,sage.algebras.catalog,sage.algebras.catalog,catalog,module,,
,sage.algebras.cellular_basis,sage.algebras.cellular_basis,cellular_basis,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cellular_basis.py#L116
,sage.algebras.cellular_basis.CellularBasis,sage.algebras.cellular_basis,CellularBasis,class,"A, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cellular_basis.py#L116
,sage.algebras.clifford_algebra,sage.algebras.clifford_algebra,clifford_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L360
,sage.algebras.clifford_algebra.CliffordAlgebra,sage.algebras.clifford_algebra,CliffordAlgebra,class,"Q, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L360
,sage.algebras.clifford_algebra.CliffordAlgebraIndices,sage.algebras.clifford_algebra,CliffordAlgebraIndices,class,"Qdim, UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L49
,sage.algebras.clifford_algebra.ExteriorAlgebra,sage.algebras.clifford_algebra,ExteriorAlgebra,class,"R, CliffordAlgebra",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L1374
,sage.algebras.clifford_algebra.ExteriorAlgebraBoundary,sage.algebras.clifford_algebra,ExteriorAlgebraBoundary,class,"E, ExteriorAlgebraDifferential",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2182
,sage.algebras.clifford_algebra.ExteriorAlgebraCoboundary,sage.algebras.clifford_algebra,ExteriorAlgebraCoboundary,class,"E, ExteriorAlgebraDifferential",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2424
,sage.algebras.clifford_algebra.ExteriorAlgebraDifferential,sage.algebras.clifford_algebra,ExteriorAlgebraDifferential,class,"E, ModuleMorphismByLinearity, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2055
,sage.algebras.clifford_algebra.ExteriorAlgebraIdeal,sage.algebras.clifford_algebra,ExteriorAlgebraIdeal,class,Ideal_nc,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2713
,sage.algebras.cluster_algebra,sage.algebras.cluster_algebra,cluster_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L1216
,sage.algebras.cluster_algebra.ClusterAlgebra,sage.algebras.cluster_algebra,ClusterAlgebra,class,"B, Parent, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L1216
,sage.algebras.cluster_algebra.ClusterAlgebraElement,sage.algebras.cluster_algebra,ClusterAlgebraElement,class,ElementWrapper,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L393
,sage.algebras.cluster_algebra.ClusterAlgebraSeed,sage.algebras.cluster_algebra,ClusterAlgebraSeed,class,"B, C, G, SageObject",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L632
,sage.algebras.cluster_algebra.PrincipalClusterAlgebraElement,sage.algebras.cluster_algebra,PrincipalClusterAlgebraElement,class,ClusterAlgebraElement,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L484
,sage.algebras.commutative_dga,sage.algebras.commutative_dga,commutative_dga,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L4054
,sage.algebras.commutative_dga.CohomologyClass,sage.algebras.commutative_dga,CohomologyClass,class,"SageObject, CachedRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L4054
,sage.algebras.commutative_dga.Differential,sage.algebras.commutative_dga,Differential,class,"A, UniqueRepresentation, Morphism",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L143
,sage.algebras.commutative_dga.DifferentialGCAlgebra,sage.algebras.commutative_dga,DifferentialGCAlgebra,class,"A, GCAlgebra",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L2020
,sage.algebras.commutative_dga.DifferentialGCAlgebra_multigraded,sage.algebras.commutative_dga,DifferentialGCAlgebra_multigraded,class,"A, DifferentialGCAlgebra, GCAlgebra_multigraded",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L3249
,sage.algebras.commutative_dga.Differential_multigraded,sage.algebras.commutative_dga,Differential_multigraded,class,"A, Differential",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L598
,sage.algebras.commutative_dga.Element,sage.algebras.commutative_dga,Element,class,"A, Element",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L3069
,sage.algebras.commutative_dga.GCAlgebra,sage.algebras.commutative_dga,GCAlgebra,class,"UniqueRepresentation, QuotientRing_nc",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L871
,sage.algebras.commutative_dga.GCAlgebraHomset,sage.algebras.commutative_dga,GCAlgebraHomset,class,"R, S, RingHomset_generic",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L3948
,sage.algebras.commutative_dga.GCAlgebraMorphism,sage.algebras.commutative_dga,GCAlgebraMorphism,class,RingHomomorphism_im_gens,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L3675
,sage.algebras.commutative_dga.GCAlgebra_multigraded,sage.algebras.commutative_dga,GCAlgebra_multigraded,class,GCAlgebra,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L1709
,sage.algebras.commutative_dga.GradedCommutativeAlgebra,sage.algebras.commutative_dga,GradedCommutativeAlgebra,function,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L3468
,sage.algebras.commutative_dga.exterior_algebra_basis,sage.algebras.commutative_dga,exterior_algebra_basis,function,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L4171
,sage.algebras.commutative_dga.sorting_keys,sage.algebras.commutative_dga,sorting_keys,function,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L108
,sage.algebras.commutative_dga.total_degree,sage.algebras.commutative_dga,total_degree,function,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L4219
,sage.algebras.down_up_algebra,sage.algebras.down_up_algebra,down_up_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/down_up_algebra.py#L33
,sage.algebras.down_up_algebra.DownUpAlgebra,sage.algebras.down_up_algebra,DownUpAlgebra,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/down_up_algebra.py#L33
,sage.algebras.down_up_algebra.Element,sage.algebras.down_up_algebra,Element,class,IndexedFreeModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/down_up_algebra.py#L733
,sage.algebras.down_up_algebra.VermaModule,sage.algebras.down_up_algebra,VermaModule,class,"DU, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/down_up_algebra.py#L481
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra,finite_dimensional_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra.py#L31
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra.FiniteDimensionalAlgebra,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra,FiniteDimensionalAlgebra,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra.py#L31
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_element,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_element,finite_dimensional_algebra_element,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_element.pyx#L41
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_element.FiniteDimensionalAlgebraElement,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_element,FiniteDimensionalAlgebraElement,class,AlgebraElement,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_element.pyx#L41
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_element.unpickle_FiniteDimensionalAlgebraElement,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_element,unpickle_FiniteDimensionalAlgebraElement,function,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_element.pyx#L22
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_ideal,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_ideal,finite_dimensional_algebra_ideal,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_ideal.py#L31
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_ideal.FiniteDimensionalAlgebraIdeal,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_ideal,FiniteDimensionalAlgebraIdeal,class,"A, Ideal_generic",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_ideal.py#L31
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_morphism,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_morphism,finite_dimensional_algebra_morphism,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_morphism.py#L199
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_morphism.FiniteDimensionalAlgebraHomset,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_morphism,FiniteDimensionalAlgebraHomset,class,"R, S, RingHomset_generic",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_morphism.py#L199
,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_morphism.FiniteDimensionalAlgebraMorphism,sage.algebras.finite_dimensional_algebras.finite_dimensional_algebra_morphism,FiniteDimensionalAlgebraMorphism,class,RingHomomorphism_im_gens,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_dimensional_algebras/finite_dimensional_algebra_morphism.py#L21
,sage.algebras.finite_gca,sage.algebras.finite_gca,finite_gca,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_gca.py#L30
,sage.algebras.finite_gca.FiniteGCAlgebra,sage.algebras.finite_gca,FiniteGCAlgebra,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/finite_gca.py#L30
,sage.algebras.free_algebra,sage.algebras.free_algebra,free_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/free_algebra.py#L1480
,sage.algebras.free_algebra.AssociativeFunctor,sage.algebras.free_algebra,AssociativeFunctor,class,ConstructionFunctor,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/free_algebra.py#L1480
,sage.algebras.free_algebra.Element,sage.algebras.free_algebra,Element,class,IndexedFreeModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/free_algebra.py#L1463
,sage.algebras.free_algebra.FreeAlgebraFactory,sage.algebras.free_algebra,FreeAlgebraFactory,class,UniqueFactory,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/free_algebra.py#L185
,sage.algebras.free_algebra.FreeAlgebra_generic,sage.algebras.free_algebra,FreeAlgebra_generic,class,"R, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/free_algebra.py#L407
,sage.algebras.free_algebra.PBWBasisOfFreeAlgebra,sage.algebras.free_algebra,PBWBasisOfFreeAlgebra,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/free_algebra.py#L1145
,sage.algebras.free_algebra.is_FreeAlgebra,sage.algebras.free_algebra,is_FreeAlgebra,function,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/free_algebra.py#L379
,sage.algebras.free_algebra.rank,sage.algebras.free_algebra,rank,attribute,,
