Status,full_name,module,entity_name,type,bases,source
,sage.categories.examples.finite_dimensional_lie_algebras_with_basis,sage.categories.examples.finite_dimensional_lie_algebras_with_basis,finite_dimensional_lie_algebras_with_basis,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_dimensional_lie_algebras_with_basis.py#L22
,sage.categories.examples.finite_dimensional_lie_algebras_with_basis.AbelianLieAlgebra,sage.categories.examples.finite_dimensional_lie_algebras_with_basis,AbelianLieAlgebra,class,"R, Parent, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_dimensional_lie_algebras_with_basis.py#L22
,sage.categories.examples.finite_dimensional_lie_algebras_with_basis.Element,sage.categories.examples.finite_dimensional_lie_algebras_with_basis,Element,class,Element,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_dimensional_lie_algebras_with_basis.py#L379
,sage.categories.examples.finite_enumerated_sets,sage.categories.examples.finite_enumerated_sets,finite_enumerated_sets,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_enumerated_sets.py#L18
,sage.categories.examples.finite_enumerated_sets.Example,sage.categories.examples.finite_enumerated_sets,Example,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_enumerated_sets.py#L18
,sage.categories.examples.finite_enumerated_sets.IsomorphicObjectOfFiniteEnumeratedSet,sage.categories.examples.finite_enumerated_sets,IsomorphicObjectOfFiniteEnumeratedSet,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_enumerated_sets.py#L114
,sage.categories.examples.finite_monoids,sage.categories.examples.finite_monoids,finite_monoids,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_monoids.py#L22
,sage.categories.examples.finite_monoids.Element,sage.categories.examples.finite_monoids,Element,class,ElementWrapper,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_monoids.py#L146
,sage.categories.examples.finite_monoids.IntegerModMonoid,sage.categories.examples.finite_monoids,IntegerModMonoid,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_monoids.py#L22
,sage.categories.examples.finite_monoids.wrapped_class,sage.categories.examples.finite_monoids,wrapped_class,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_monoids.py#L404
,sage.categories.examples.finite_semigroups,sage.categories.examples.finite_semigroups,finite_semigroups,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_semigroups.py#L20
,sage.categories.examples.finite_semigroups.Element,sage.categories.examples.finite_semigroups,Element,class,ElementWrapper,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_semigroups.py#L185
,sage.categories.examples.finite_semigroups.LeftRegularBand,sage.categories.examples.finite_semigroups,LeftRegularBand,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_semigroups.py#L20
,sage.categories.examples.finite_semigroups.wrapped_class,sage.categories.examples.finite_semigroups,wrapped_class,attribute,,
,sage.categories.examples.finite_weyl_groups,sage.categories.examples.finite_weyl_groups,finite_weyl_groups,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_weyl_groups.py#L19
,sage.categories.examples.finite_weyl_groups.Element,sage.categories.examples.finite_weyl_groups,Element,class,ElementWrapper,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_weyl_groups.py#L174
,sage.categories.examples.finite_weyl_groups.SymmetricGroup,sage.categories.examples.finite_weyl_groups,SymmetricGroup,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/finite_weyl_groups.py#L19
,sage.categories.examples.graded_connected_hopf_algebras_with_basis,sage.categories.examples.graded_connected_hopf_algebras_with_basis,graded_connected_hopf_algebras_with_basis,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/graded_connected_hopf_algebras_with_basis.py#L20
,sage.categories.examples.graded_connected_hopf_algebras_with_basis.GradedConnectedCombinatorialHopfAlgebraWithPrimitiveGenerator,sage.categories.examples.graded_connected_hopf_algebras_with_basis,GradedConnectedCombinatorialHopfAlgebraWithPrimitiveGenerator,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/graded_connected_hopf_algebras_with_basis.py#L20
,sage.categories.examples.graded_modules_with_basis,sage.categories.examples.graded_modules_with_basis,graded_modules_with_basis,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/graded_modules_with_basis.py#L19
,sage.categories.examples.graded_modules_with_basis.GradedPartitionModule,sage.categories.examples.graded_modules_with_basis,GradedPartitionModule,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/graded_modules_with_basis.py#L19
,sage.categories.examples.graphs,sage.categories.examples.graphs,graphs,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/graphs.py#L17
,sage.categories.examples.graphs.Cycle,sage.categories.examples.graphs,Cycle,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/graphs.py#L17
,sage.categories.examples.graphs.Element,sage.categories.examples.graphs,Element,class,ElementWrapper,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/graphs.py#L101
,sage.categories.examples.hopf_algebras_with_basis,sage.categories.examples.hopf_algebras_with_basis,hopf_algebras_with_basis,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/hopf_algebras_with_basis.py#L20
,sage.categories.examples.hopf_algebras_with_basis.MyGroupAlgebra,sage.categories.examples.hopf_algebras_with_basis,MyGroupAlgebra,class,"R, G, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/hopf_algebras_with_basis.py#L20
,sage.categories.examples.infinite_enumerated_sets,sage.categories.examples.infinite_enumerated_sets,infinite_enumerated_sets,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/infinite_enumerated_sets.py#L18
,sage.categories.examples.infinite_enumerated_sets.NonNegativeIntegers,sage.categories.examples.infinite_enumerated_sets,NonNegativeIntegers,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/infinite_enumerated_sets.py#L18
,sage.categories.examples.lie_algebras,sage.categories.examples.lie_algebras,lie_algebras,module,,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/lie_algebras.py#L21
,sage.categories.examples.lie_algebras.Element,sage.categories.examples.lie_algebras,Element,class,ElementWrapper,https://github.com/sagemath/sage/blob/develop/src/sage/categories/examples/lie_algebras.py#L151
