Status,Implementation Type,full_name,module,entity_name,type,bases,source
Implemented,Full,sage.rings.fraction_field_element,sage.rings.fraction_field_element,fraction_field_element,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/fraction_field_element.pyx#L57
Implemented,Full,sage.rings.fraction_field_element.FractionFieldElement,sage.rings.fraction_field_element,FractionFieldElement,class,FieldElement,https://github.com/sagemath/sage/blob/develop/src/sage/rings/fraction_field_element.pyx#L57
Implemented,Full,sage.rings.fraction_field_element.FractionFieldElement_1poly_field,sage.rings.fraction_field_element,FractionFieldElement_1poly_field,class,FractionFieldElement,https://github.com/sagemath/sage/blob/develop/src/sage/rings/fraction_field_element.pyx#L1187
Implemented,Full,sage.rings.fraction_field_element.is_FractionFieldElement,sage.rings.fraction_field_element,is_FractionFieldElement,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/fraction_field_element.pyx#L31
Implemented,Full,sage.rings.fraction_field_element.make_element,sage.rings.fraction_field_element,make_element,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/fraction_field_element.pyx#L1284
Implemented,Full,sage.rings.fraction_field_element.make_element_old,sage.rings.fraction_field_element,make_element_old,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/fraction_field_element.pyx#L1301
,,sage.rings.function_field.constructor,sage.rings.function_field.constructor,constructor,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/constructor.py#L118
,,sage.rings.function_field.constructor.FunctionFieldExtensionFactory,sage.rings.function_field.constructor,FunctionFieldExtensionFactory,class,UniqueFactory,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/constructor.py#L118
,,sage.rings.function_field.constructor.FunctionFieldFactory,sage.rings.function_field.constructor,FunctionFieldFactory,class,UniqueFactory,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/constructor.py#L43
,,sage.rings.function_field.derivations,sage.rings.function_field.derivations,derivations,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations.py#L42
,,sage.rings.function_field.derivations.FunctionFieldDerivation,sage.rings.function_field.derivations,FunctionFieldDerivation,class,RingDerivationWithoutTwist,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations.py#L42
,,sage.rings.function_field.derivations_polymod,sage.rings.function_field.derivations_polymod,derivations_polymod,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_polymod.py#L166
,,sage.rings.function_field.derivations_polymod.FunctionFieldDerivation_inseparable,sage.rings.function_field.derivations_polymod,FunctionFieldDerivation_inseparable,class,FunctionFieldDerivation,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_polymod.py#L166
,,sage.rings.function_field.derivations_polymod.FunctionFieldDerivation_separable,sage.rings.function_field.derivations_polymod,FunctionFieldDerivation_separable,class,FunctionFieldDerivation,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_polymod.py#L30
,,sage.rings.function_field.derivations_polymod.FunctionFieldHigherDerivation,sage.rings.function_field.derivations_polymod,FunctionFieldHigherDerivation,class,Map,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_polymod.py#L273
,,sage.rings.function_field.derivations_polymod.FunctionFieldHigherDerivation_char_zero,sage.rings.function_field.derivations_polymod,FunctionFieldHigherDerivation_char_zero,class,FunctionFieldHigherDerivation,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_polymod.py#L802
,,sage.rings.function_field.derivations_polymod.FunctionFieldHigherDerivation_global,sage.rings.function_field.derivations_polymod,FunctionFieldHigherDerivation_global,class,FunctionFieldHigherDerivation,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_polymod.py#L562
,,sage.rings.function_field.derivations_polymod.RationalFunctionFieldHigherDerivation_global,sage.rings.function_field.derivations_polymod,RationalFunctionFieldHigherDerivation_global,class,FunctionFieldHigherDerivation,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_polymod.py#L370
,,sage.rings.function_field.derivations_rational,sage.rings.function_field.derivations_rational,derivations_rational,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_rational.py#L24
,,sage.rings.function_field.derivations_rational.FunctionFieldDerivation_rational,sage.rings.function_field.derivations_rational,FunctionFieldDerivation_rational,class,FunctionFieldDerivation,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/derivations_rational.py#L24
,,sage.rings.function_field.differential,sage.rings.function_field.differential,differential,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/differential.py#L568
,,sage.rings.function_field.differential.DifferentialsSpace,sage.rings.function_field.differential,DifferentialsSpace,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/differential.py#L568
,,sage.rings.function_field.differential.DifferentialsSpaceInclusion,sage.rings.function_field.differential,DifferentialsSpaceInclusion,class,Morphism,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/differential.py#L757
,,sage.rings.function_field.differential.DifferentialsSpace_global,sage.rings.function_field.differential,DifferentialsSpace_global,class,DifferentialsSpace,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/differential.py#L739
,,sage.rings.function_field.differential.FunctionFieldDifferential,sage.rings.function_field.differential,FunctionFieldDifferential,class,ModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/differential.py#L74
,,sage.rings.function_field.differential.FunctionFieldDifferential_global,sage.rings.function_field.differential,FunctionFieldDifferential_global,class,FunctionFieldDifferential,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/differential.py#L509
,,sage.rings.function_field.divisor,sage.rings.function_field.divisor,divisor,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/divisor.py#L985
,,sage.rings.function_field.divisor.DivisorGroup,sage.rings.function_field.divisor,DivisorGroup,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/divisor.py#L985
,,sage.rings.function_field.divisor.FunctionFieldDivisor,sage.rings.function_field.divisor,FunctionFieldDivisor,class,ModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/divisor.py#L129
,,sage.rings.function_field.divisor.divisor,sage.rings.function_field.divisor,divisor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/divisor.py#L78
,,sage.rings.function_field.divisor.prime_divisor,sage.rings.function_field.divisor,prime_divisor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/function_field/divisor.py#L103
,,sage.rings.function_field.drinfeld_modules.action,sage.rings.function_field.drinfeld_modules.action,action,module,,https://github.com/sagemath/sage/blob/develop/src/action.py.py#L28
,,sage.rings.function_field.drinfeld_modules.action.DrinfeldModuleAction,sage.rings.function_field.drinfeld_modules.action,DrinfeldModuleAction,class,Action,https://github.com/sagemath/sage/blob/develop/src/action.py.py#L28
